title,video_id,published_at,transcript
CYBERTRUCK VS FENCE 😱,4UAr2NJkEjk,2026-02-05T09:22:00Z,"This driver tried to prove his Tesla was tough enough to plow through a set of fences without taking any damage. And at first, it seemed like he pulled it off, stepping out proudly and spotting only a few scratches. But then he heard water dripping from underneath. The fences had punctured the radiator, turning his test into a costly mistake."
They Filmed It in Pure Silence😂,4MhSOVnJdkk,2026-02-04T08:37:08Z,"These little girls were filming a Tik Tok in the school bathroom when something insane happened. While they were dancing, a phone started recording them from behind the stalls. And people in the comments were worried for their safety. But then another post showed the phone's POV. >> These girls at my school are doing the baby boo dance in pure silence."
This Is How She Knows She Goes To Starbucks Too Much😂,laemssiZ4aw,2026-02-02T19:00:19Z,"This is how she knows she goes to Starbucks too much. >> Good morning. Wish Korea. >> Good morning, Robbie. [clears throat] I'm >> shaking your thingy up right now. >> Okay. Thank you. Get"
Air Pressure on a Plane Made THIS Happen 😱,9q-VQWaiu7U,2026-02-01T09:06:30Z,"Just look what happens when this girl decided to open a champagne bottle on the plane. Even though she hadn't shaken it, the liquid started bursting out. And this is because of the change in air pressure as the plane gets higher. But when this girl tried to open her chips, something insane happened."
This Is What a Professional Motorcycle Pit Stop Looks Like!,i0ZN2FgYkKs,2026-01-30T21:43:13Z,"This motorcycle pit crew is demonstrating how they execute a pit stop in record-breaking time. And if you're wondering how they perform during an actual race, this is how"
SHE PRANKED HIM😂,9aDnBqb7UaI,2026-01-29T09:12:14Z,"When this mom and her son were clipping a hair pin onto each other's tongue, she thought it was the perfect opportunity to play a prank on him. So, she quickly distracted him and swapped in a fake tongue and clipped that instead. And when she was ready, she told him to pull it off. But his reaction to what happened next left her completely speechless. >> Wa! Look at that. What? [laughter] I'm so sorry."
Secret Fishing HACK😱,IpTV4K8icTU,2026-01-28T23:50:20Z,"This guy spotted thousands of fish all in one spot, so he jumped into the water in attempt to catch them with his shirt. Since he forgot his fishing rod at home, he had to improvise. And no one on the boat thought it would work until he did this. THIS IS A PAMARANT."
DON’T CHECK THE SOUND 💀,0CCdNPj6N30,2026-01-27T23:23:04Z,"Her father thought they would solve this puzzle together, but it turns out she didn't need any help. Even though this is a very challenging puzzle that left plenty of adults scratching their head, she puts each piece perfectly in place like she's done it a hundred times before. And her dad can't help being proud of her little genius in action."
DON’T CLICK THE SOUND😱,42LURo-KOkE,2026-01-26T22:33:37Z,"This guy found the most effective way to warn pedestrians that a bike is coming. >> Guys, when people are on the trail, I notice like a bell doesn't really work. [music] Saying like on your left doesn't really work, but if you just go a [screaming and groaning] Thank you. that works really well."
DON’T CHECK THE SOUND❌,niaC_TZUNQ4,2026-01-24T23:34:35Z,"After this guy was tired of buying fake honey, he decided to show us the craziest way to test if it's real. >> The way to make sure your honey is real, you take it, put it in a dish like this. Put about a nice amount in there. I'm going take some cold water just enough to cover it. And we're just going to go like this. Jostel it back and forth. Now, the cool thing about honey is it has a memory. Okay? Muscle like kind of like a muscle memory. See the magic happen before your own eyes. See what it's starting to do? It's starting to form something. Okay? And what do you think it's forming? It's forming the shape of a freaking honeycomb. Cuz that's where it was made. That's how you can tell the honey is real. Starting to make the honeycomb shape. One, two, three. Boom. Don't click the"
